City,Country_Code,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed,Temperature_Category,Humidity_Category,Cloudiness_Category
Qaracala,AZ,40.03669754195627,49.07654012273383,70.56,86,92,3.74,Hot,Moist,Cloudy
Douglas,US,42.66854243072925,-105.55387854354292,84.2,74,40,3.36,Hot,Optimum,Partly_Cloudy
Tamandare,BR,-10.043600151690555,-30.535931801669676,68.67,87,0,2.51,Optimum,Moist,Clear
Wadi Maliz,TN,37.099208019753036,7.673301118288379,66.2,77,20,5.82,Optimum,Moist,Clear
Deniliquin,AU,-35.25111982264792,144.3912047264708,55.17,100,8,4.63,Optimum,Moist,Clear
Gunjur,GM,12.663410920403635,-17.755395867157432,75.2,83,20,5.82,Hot,Moist,Clear
Chiredzi,ZW,-21.321561996657522,32.123262629060434,54.36,86,8,2.95,Optimum,Moist,Clear
Bell Ville,AR,-32.85405143917051,-61.95965364627938,56.43,81,8,5.3,Optimum,Moist,Clear
Porto Nacional,BR,-10.541161659573035,-48.49702686473711,75.42,46,8,6.76,Hot,Optimum,Clear
Singapore,SG,0.6175566534134447,103.46376045974034,82.4,94,75,2.24,Hot,Moist,Cloudy
Havre-Saint-Pierre,CA,56.78208736917571,-62.82759248408108,55.4,87,90,11.41,Optimum,Moist,Cloudy
Ludza,LV,56.65467567370467,27.832485032027023,57.87,76,0,14.81,Optimum,Moist,Clear
Palana,RU,58.61239381098298,160.40150601359022,57.6,70,92,3.4,Optimum,Optimum,Cloudy
Mbini,GQ,1.40511455741742,7.27323077448392,75.2,94,40,7.65,Hot,Moist,Partly_Cloudy
Karpathos,GR,34.062368417475014,28.005964195536222,73.4,83,0,9.17,Hot,Moist,Clear
Moshi,TZ,-2.9383762489039498,37.36690590778596,61.29,100,56,1.95,Optimum,Moist,Partly_Cloudy
Samus,RU,56.79075233208894,84.83695953240391,62.55,70,32,10.22,Optimum,Optimum,Partly_Cloudy
Buenaventura,CO,3.8003866365706926,-76.91918147811126,68.94,100,92,0.72,Optimum,Moist,Cloudy
General Roca,AR,-38.606509144976776,-66.43642148550272,48.2,26,0,12.75,Cold,Dry,Clear
Pensacola,US,30.155837647270943,-87.08705243009608,86,83,1,3.36,Hot,Moist,Clear
Dawei,MM,13.288794448463818,95.55054640942376,73.26,100,92,2.95,Hot,Moist,Cloudy
Zhicheng,CN,30.117707396453,111.0271209798135,87.21,62,0,5.3,Hot,Optimum,Clear
Alenquer,BR,1.0596740948272014,-54.603923937232565,75.2,100,20,2.24,Hot,Moist,Clear
Puerto Carreno,CO,6.659421596990853,-65.79999920012213,66.96,91,88,2.84,Optimum,Moist,Cloudy
Hokitika,NZ,-38.67827937802582,165.28225487234891,49.14,100,12,0.94,Cold,Moist,Clear
Cascais,PT,36.86819957325096,-13.236549914468156,69.8,73,20,4.7,Optimum,Optimum,Clear
Warrenton,ZA,-28.162013782884294,24.919941129384995,41.76,69,0,8.43,Cold,Optimum,Clear
Pout,SN,15.120451208324084,-17.18712300266222,75.2,83,75,11.41,Hot,Moist,Cloudy
Zaozerne,UA,44.74368988467893,33.00496699006786,61.74,82,12,2.73,Optimum,Moist,Clear
Ziarat,PK,30.709493860955533,68.01385085548904,68.76,26,0,3.18,Optimum,Dry,Clear
Jiayuguan,CN,42.17895732304649,98.96572272020984,68.67,64,0,2.28,Optimum,Optimum,Clear
Mponela,MW,-13.454456442897651,33.721635944155,48.42,79,0,4.41,Cold,Moist,Clear
Ugoofaaru,MV,6.48509475564407,62.72166042494203,83.52,97,80,17.72,Hot,Moist,Cloudy
Tahlequah,US,35.9314905397474,-94.94403011714475,75.2,94,90,4.18,Hot,Moist,Cloudy
Nurota,UZ,41.673860971245176,66.31084649460954,66.2,24,0,2.24,Optimum,Dry,Clear
Teshie,GH,4.3716218893487735,0.21753241635317977,77,94,75,8.05,Hot,Moist,Cloudy
Angoram,PG,-4.022513295939419,145.30950318610496,89.28,60,44,1.61,Hot,Optimum,Partly_Cloudy
Puntarenas,CR,9.60117384558184,-84.78963086916187,68,94,90,4.7,Optimum,Moist,Cloudy
Boa Esperanca Do Sul,BR,-21.955582586907084,-48.411477478047544,59.22,80,0,5.75,Optimum,Moist,Clear
Tamworth,AU,-31.161814237270875,150.8625263367452,59,51,64,6.93,Optimum,Optimum,Partly_Cloudy
Lewistown,US,47.598090039117864,-108.43789329532451,69.8,100,90,5.82,Optimum,Moist,Cloudy
Haridwar,IN,30.06322937220638,78.1131008283482,82.62,81,0,4.29,Hot,Moist,Clear
Padang,ID,-9.762679607546929,89.66066905078713,85.14,100,20,3.62,Hot,Moist,Clear
Chipinge,ZW,-19.693734595909135,33.0934487401411,57.06,84,36,2.73,Optimum,Moist,Partly_Cloudy
Butte,US,46.40485314764817,-112.60321283089966,64.4,52,90,9.17,Optimum,Optimum,Cloudy
Kalawit,PH,8.374392461353594,122.36006049485286,86.13,71,24,4.41,Hot,Optimum,Clear
Soe,ID,-11.597899213591987,126.42297658265102,82.89,53,0,3.29,Hot,Optimum,Clear
New Baltimore,US,42.691907848107604,-82.7001705593714,69.8,72,40,5.41,Optimum,Optimum,Partly_Cloudy
Eenhana,NA,-17.90920314392345,17.19037561944026,46.26,50,0,6.87,Cold,Optimum,Clear
Cookeville,US,36.334873347379244,-85.1502712686744,77,78,1,5.82,Hot,Moist,Clear
San Matias,BO,-15.939435496504686,-58.4196785738351,63.81,82,0,2.84,Optimum,Moist,Clear
Staryy Nadym,RU,65.53955237084637,72.83299995524641,58.77,100,88,5.64,Optimum,Moist,Cloudy
Bilibino,RU,65.95337441606651,164.73741740576276,66.15,47,56,1.72,Optimum,Optimum,Partly_Cloudy
Bealanana,MG,-14.86319262237015,48.99662552042287,48.69,90,8,3.4,Cold,Moist,Clear
Ous,RU,61.29066530533473,61.03742910895099,61.74,84,92,5.41,Optimum,Moist,Cloudy
Kualakapuas,ID,-3.324310440210226,114.27827604323602,84.87,83,12,3.62,Hot,Moist,Clear
Chaozhou,CN,24.39586168946586,116.28491721902589,86,79,20,4.47,Hot,Moist,Clear
Hope,US,34.30099529201013,-93.92979705357382,73.4,100,90,5.82,Hot,Moist,Cloudy
Andros Town,BS,23.564436329409006,-77.81500405567243,78.8,94,75,1.12,Hot,Moist,Cloudy
Berdigestyakh,RU,61.902697078668524,126.62520239421292,65.79,56,32,9.66,Optimum,Optimum,Partly_Cloudy
Praia,CV,8.799648610847186,-22.575391788579623,73.4,73,20,13.87,Hot,Optimum,Clear
Pasni,PK,25.53094906216272,63.13119571986752,85.77,96,32,14.92,Hot,Moist,Partly_Cloudy
Lukulu,ZM,-14.257839542905074,23.351443412449868,47.52,66,0,3.74,Cold,Optimum,Clear
Verkhniye Tatyshly,RU,56.5267920817403,55.67505640428524,53.91,94,92,11.34,Optimum,Moist,Cloudy
Kharovsk,RU,60.209471035991726,40.17190538120343,56.7,61,0,18.28,Optimum,Optimum,Clear
Khasan,RU,40.68000924017463,131.49318375264278,65.52,77,64,10.33,Optimum,Moist,Partly_Cloudy
Mayumba,GA,-4.269489090383203,10.593635429295887,72.09,100,88,9.22,Hot,Moist,Cloudy
Funadhoo,MV,6.104355927047209,73.54245531378132,82.89,99,80,19.28,Hot,Moist,Cloudy
San Javier,BO,-16.47098038511112,-63.03096805036384,64.35,77,0,2.84,Optimum,Moist,Clear
Darhan,MN,46.7203301002676,109.6600616384689,72.36,67,92,5.75,Hot,Optimum,Cloudy
Kalmar,SE,56.21397603914872,17.483517403643276,62.6,93,44,14.99,Optimum,Moist,Partly_Cloudy
Domoni,KM,-11.135860549091205,45.262155461740065,80.37,100,44,8.77,Hot,Moist,Partly_Cloudy
Eskilstuna,SE,59.47331289112503,16.265923173268362,53.6,93,92,3.36,Optimum,Moist,Cloudy
Majagual,CO,8.611459709488955,-74.6219502138782,74.97,95,64,2.06,Hot,Moist,Partly_Cloudy
Valley City,US,46.530954808782866,-98.32934339743362,75.2,60,1,6.93,Hot,Optimum,Clear
Realeza,BR,-25.51497388653567,-53.56998637981697,54.81,83,0,4.18,Optimum,Moist,Clear
Mangai,CD,-4.280123650731952,19.065708472783513,73.71,78,36,2.62,Hot,Moist,Partly_Cloudy
Morganton,US,35.79301947632942,-81.73280694177072,82.4,88,1,5.53,Hot,Moist,Clear
Sao Gabriel Da Cachoeira,BR,-0.14850848896905688,-67.7249140254331,73.17,94,88,1.95,Hot,Moist,Cloudy
Kungurtug,RU,47.719932974276645,97.176473231839,59.67,74,12,2.39,Optimum,Optimum,Clear
Port-Gentil,GA,-4.470831959249281,0.8611483723187519,74.25,100,80,12.8,Hot,Moist,Cloudy
Palapye,BW,-22.604219002802807,27.327999520469234,47.79,89,0,7.54,Cold,Moist,Clear
Singaparna,ID,-10.788418689445251,106.98793015738221,74.34,84,80,2.39,Hot,Moist,Cloudy
Miramar,MX,22.776223057239292,-96.23367605429789,73.4,56,75,9.17,Hot,Optimum,Cloudy
Thoen,TH,17.476871074590434,98.96423263755469,75.15,100,92,2.95,Hot,Moist,Cloudy
Bintulu,MY,3.679258234075405,112.18683790632684,77,88,75,14.99,Hot,Moist,Cloudy
La Romana,DO,17.786267400873953,-68.89560060785763,78.8,94,40,4.7,Hot,Moist,Partly_Cloudy
Katherine,AU,-14.099533789344946,131.8530167270855,75.2,16,0,12.75,Hot,Dry,Clear
Rach Gia,VN,9.658862015187339,104.69167604346791,85.86,89,48,7.87,Hot,Moist,Partly_Cloudy
Santa Maria,CV,19.42592804620142,-23.008994248759024,73.4,78,75,14.99,Hot,Moist,Cloudy
Ocampo,MX,27.69485952672521,-102.77297325782727,78.12,39,20,6.64,Hot,Optimum,Clear
Khandyga,RU,62.862178095870604,135.1097333432905,67.41,39,88,6.87,Optimum,Optimum,Cloudy
Beihai,CN,21.103665811063223,109.41361372142921,84.2,30,0,6.71,Hot,Dry,Clear
Castlemaine,AU,-37.084071483116084,144.70616938052626,48.06,97,0,4.41,Cold,Moist,Clear
Mersing,MY,2.903947005584982,103.67472535796213,85.77,93,20,2.84,Hot,Moist,Clear
Moron,MN,50.52606790170259,100.39550921725998,78.39,37,80,8.55,Hot,Optimum,Cloudy
Marovoay,MG,-16.85844670197612,46.79295870569467,68,82,20,2.24,Optimum,Moist,Clear
Manama,BH,26.493140876705567,51.199428973763105,91.4,59,0,13.87,Hot,Optimum,Clear
Bogorodskoye,RU,56.52285287487433,37.830997979712976,55.62,94,92,8.55,Optimum,Moist,Cloudy
Eslov,SE,55.74943766944571,13.662654314455153,62.6,87,88,12.75,Optimum,Moist,Cloudy
Waddan,LY,27.882920275262435,16.645105963028897,68.94,65,0,9.66,Optimum,Optimum,Clear
Warrington,US,29.534122282024427,-87.36650541824699,78.8,73,90,2.51,Hot,Optimum,Cloudy
Yicheng,CN,31.4847706488639,112.38231506621065,80.37,88,68,4.52,Hot,Moist,Partly_Cloudy
Sibolga,ID,-2.7751249836637584,92.33155626725431,75.33,95,80,2.62,Hot,Moist,Cloudy
Hanmer Springs,NZ,-42.87981792837321,173.56130249280613,39.06,92,8,3.18,Cold,Moist,Clear
Villa Florida,PY,-26.37893994330897,-57.33308401029079,63.09,73,0,8.32,Optimum,Optimum,Clear
Makinsk,KZ,52.979337551877535,70.11361860873726,68.4,67,12,12.8,Optimum,Optimum,Clear
Yarim,YE,14.809315349327164,45.843241923793045,50.67,40,0,1.61,Optimum,Optimum,Clear
Krasnoarmeyskiy,RU,47.23446501024932,42.01670768259828,69.84,63,0,2.73,Optimum,Optimum,Clear
Mao,TD,15.172792067926878,13.729940665072661,74.34,82,76,8.21,Hot,Moist,Cloudy
Aguas Vermelhas,BR,-15.605702163849713,-41.55715623184793,61.92,99,76,8.32,Optimum,Moist,Cloudy
Gubkinskiy,RU,64.11048269649012,76.39816670387103,58.59,92,80,11.9,Optimum,Moist,Cloudy
Raton,US,36.87871662533155,-103.86654304965768,82.4,34,1,20.8,Hot,Dry,Clear
Belchatow,PL,51.267192830589494,19.43579090633409,60.8,82,0,1.12,Optimum,Moist,Clear
Ternate,ID,1.412187052357396,128.95294733019603,82.17,100,0,1.95,Hot,Moist,Clear
Corowa,AU,-35.55044205194801,145.785945461759,48.2,76,0,4.7,Cold,Moist,Clear
